CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,EstimatedSalary,,,,,,
15634602,Hargrave,619,FRA,Female,42,2,€101348.88,,,,,,
15647311,Hill,608,Spain,Female,41,1,€112542.58,,,,,,
15619304,Onio,502,French,Female,42,8,€113931.57,,,,,,
15701354,Boni,699,FRA,Female,39,1,€93826.63,,,,,,
15737888,Mitchell,850,Spain,Female,43,2,€79084.1,,,,,,
15574012,Chu,645,Spain,Male,44,8,€149756.71,,,,,,
15592531,Bartlett,822,France,Male,50,7,€10062.8,,,,,,
15656148,Obinna,376,Germany,Female,29,4,€119346.88,,,,,,
15792365,He,501,French,Male,44,4,€74940.5,,,,,,
15592389,H?,684,France,Male,27,2,€71725.73,,,,,,
15767821,Bearce,528,French,Male,31,6,€80181.12,,,,,,
15737173,Andrews,497,Spain,Male,24,3,€76390.01,,,,,,
15632264,Kay,476,FRA,Female,34,10,€26260.98,,,,,,
15691483,Chin,549,France,Female,25,5,€190857.79,,,,,,
15600882,Scott,635,Spain,Female,35,7,€65951.65,,,,,,
15643966,Goforth,616,Germany,Male,45,3,€64327.26,,,,,,
15737452,Romeo,653,Germany,Male,58,1,€5097.67,,,,,,
15788218,Henderson,549,Spain,Female,24,9,€14406.41,,,,,,
15661507,Muldrow,587,Spain,Male,45,6,€158684.81,,,,,,
15568982,Hao,726,French,Female,24,6,€54724.03,,,,,,
15577657,McDonald,732,French,Male,41,8,€170886.17,,,,,,
15597945,Dellucci,636,Spain,Female,32,8,€138555.46,,,,,,
15699309,Gerasimov,510,Spain,Female,38,4,€118913.53,,,,,,
15725737,Mosman,669,France,Male,46,3,€8487.75,,,,,,
15625047,Yen,846,FRA,Female,38,5,€187616.16,,,,,,
15738191,Maclean,577,France,Male,25,3,€124508.29,,,,,,
15736816,Young,756,Germany,Male,36,2,€170041.95,,,,,,
15700772,Nebechi,571,FRA,Male,44,9,€38433.35,,,,,,
15728693,,574,Germany,Female,,3,-€999999,,,,,,
15656300,Lucciano,411,French,Male,29,0,€53483.21,,,,,,
15589475,Azikiwe,591,Spain,Female,39,3,€140469.38,,,,,,
15706552,Odinakachukwu,533,France,Male,36,7,€156731.91,,,,,,
15750181,Sanderson,553,Germany,Male,41,9,€81898.81,,,,,,
15659428,Maggard,520,Spain,Female,42,6,€34410.55,,,,,,
15732963,Clements,722,Spain,Female,29,9,€142033.07,,,,,,
15794171,Lombardo,475,France,Female,45,0,€27822.99,,,,,,
15788448,Watson,490,Spain,Male,31,3,€114066.77,,,,,,
15729599,Lorenzo,804,Spain,Male,33,7,€98453.45,,,,,,
15717426,Armstrong,850,French,Male,36,7,€40812.9,,,,,,
15585768,Cameron,582,Germany,Male,41,6,€178074.04,,,,,,
15619360,Hsiao,472,Spain,Male,40,4,€70154.22,,,,,,
15738148,Clarke,465,FRA,Female,51,8,€181297.65,,,,,,
15687946,Osborne,556,FRA,Female,61,2,€94153.83,,,,,,
15755196,Lavine,834,FRA,Female,49,2,€194365.76,,,,,,
15684171,Bianchi,660,Spain,Female,61,5,€158338.39,,,,,,
